2   1n                                                                             C_MLCC_SMDCMLCC_0402                                                           C_MLCC_0402                                                   C26, C35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            1276-1635-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CL05C102JB5NNNC                                                                                                                                                                                                                                                                                                                                                                                               
2   1n                                                                             C_MLCC_SMDCMLCC_0603                                                           C_MLCC_0603                                                   C11, C12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            1276-1091-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CL10C102JB8NNNC                                                                                                                                                                                                                                                                                                                                                                                               
14  1u                                                                             C_MLCC_SMDCMLCC_0306                                                           C_MLCC_0306                                                   C5, C6, C7, C8, C9, C10, C13, C14, C15, C16, C17, C21, C22, C69                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     445-13750-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   C0816X5R1C105M050AC                                                                                                                                                                                                                                                                                                                                                                                           
4   1u                                                                             C_MLCC_SMDCMLCC_0603                                                           C_MLCC_0603                                                   C4, C27, C32, C34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   1276-1019-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CL10B105KO8NNNC                                                                                                                                                                                                                                                                                                                                                                                               
1   2.7n                                                                           C_MLCC_SMDCMLCC_0603                                                           C_MLCC_0603                                                   C1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  1276-2022-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CL10B272KB8NNNC                                                                                                                                                                                                                                                                                                                                                                                               
1   22-23-2021                                                                     22-23-2021                                                                     22-23-2021                                                    X2                                                              .100" (2.54mm) Center Header - 2 Pin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   MOLEX                                                                                                                                                                  22-23-2021        1462926    25C3832                                                                                                                                                                                             40                                                                                                                                                                                                                                                                                                                                                  
1   22u                                                                            CPOL-USCT7343                                                                  CT7343                                                        C33                                                             POLARIZED CAPACITOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                478-3923-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    TAJD226K020RNJ                                            7                                                                                                C                                                                                                                                                                                                                                                  
1   360                                                                            C_MLCC_SMDCMLCC_0603                                                           C_MLCC_0603                                                   R1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  P360GCT-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ERJ-3GEYJ361V                                                                                                                                                                                                                                                                                                                                                                                                 
1   4.7k                                                                           R_SMDR0603                                                                     R_0603                                                        R12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 541-3993-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    CRCW06034K70JNEAC                                                                                                                                                                                                                                                                                                                                                                                             
1   47n                                                                            C_MLCC_SMDCMLCC_0603                                                           C_MLCC_0603                                                   C2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  1276-2070-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CL10B473JB8NNNC                                                                                                                                                                                                                                                                                                                                                                                               
1   535L250X2GT5                                                                   535L250X2GT5                                                                   535L250X2GT5                                                  535L250X2GT5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
1   680p                                                                           C_MLCC_SMDCMLCC_0603                                                           C_MLCC_0603                                                   C3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  1276-2327-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CL10C681FB8NNNC                                                                                                                                                                                                                                                                                                                                                                                               
2   7.5n                                                                           INDUCTOR-0402                                                                  0402                                                          L2, L3                                                          SMT Inductor.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       A102558CT-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     36501E7N5JTDG                                                                                                                                                                                                                                                                                                                                                                                                 
1   ADF4351                                                                        ADF4351                                                                        ADF4351                                                       U1                                                              IC SYNTH PLL VCO 32LFCSP Check prices                                              Bad                                                                                                                                                                                                                                                                                                                                                                                                                                                  IC SYNTH PLL VCO 32LFCSP                                                                                                                                                                                                                                                                                                                                                                       Analog Devices                                                                                                                                                 ADF4351                                        LFCSP-32 Analog Devices                                                                                                                                                                                                                            None                                                                                                                                                                                                                                                                                       
2   ANALOG_DEVICES_ADP150AUJZ-3.3-R7ANALOG_DEVICES_ADP150AUJZ-3.3-R7_0_2           ANALOG_DEVICES_ADP150AUJZ-3.3-R7ANALOG_DEVICES_ADP150AUJZ-3.3-R7_0_2           ANALOG_DEVICES_ADP150AUJZ-3.3-R7_2                            U2, U3                                                          ADI-ADP1XX-UJ-5                                                                                                        975179    MO-193-AB          Manufacturer URL             http://www.analog.com/en/index.html Package Specification        http:/www.analog.com/static/imported-files/packages/PKG_PDF/TSOT(UJ)/UJ_5.pdf URL Link1                    Product URL:http://www.analog.com/en/ADP150/productSearch.html http://www.analog.com/static/imported-files/data_sheets/ADP150.pdf                       Rev. A                                                                                                                                                                                                  Level C                  Level B                  Level A                                                         yes      vault         1521857608 150mA                                                 Analog Devices                                                                       Surface Mount                                                                     ADP150AUJZ-3.3-R7                      UJ-5                    5-Pin Thin Small Outline Transistor Package, Body 2.9 x 1.6 mm, Pitch 0.95 mm 100708-A, 10/2008 Reel                                                                                           U      3.3                        1391079503                                    10uA                                                                                        70507598-8A6A-4FF9-A6C4-4DAE49C689A6 BD3AA6A0-0F13-46D0-8547-DEEA94063516                                    5.5       2.2                 
1   BZX84CSMD                                                                      BZX84CSMD                                                                      TO236                                                         D2                                                              Z DIODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1727-2942-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   BZX84-C6V8,215                                            1                                                                                                                                                                                                                                                                                                                                                   
2   JOHNSON_SMA_EDGE_LAUNCH_142-0701-851                                           JOHNSON_SMA_EDGE_LAUNCH_142-0701-851                                           JOHNSON_SMA_EDGE_LAUNCH_142-0701-851                          TRIGGER1, TRIGGER2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
7   OPEN                                                                           R_SMDR0603                                                                     R_0603                                                        R5, R6, R8, R11, R14, R24, R25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2   OPEN                                                                           R_SMDR0603                                                                     R_0603                                                        R9, R18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             MCT0603-10.0K-CFCT-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            MCT06030C1002FP500                                                                                                                                                                                                                                                                                                                                                                                            
1   SMA_CONNECTOR                                                                  SMA_CONNECTOR                                                                  QKDLAB_JOSH_MECHANICAL_JOHNSON_SMA_EDGE_LAUNCH_142-0701-851   REFIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               J658-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          142-0701-851                                                                                                                                                                                                                                                                                                                                                                                                  
1   TEENSY_4.1                                                                     TEENSY_4.1                                                                     TEENSY_4.1                                                    U$1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2   TPB1,27                                                                        TPB1,27                                                                        B1,27                                                         VDD, VOUT                                                       Test pad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       19                                                                                                                                                                                                                                                                                                                                                  
1   VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8_0_0 VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8_0_0 VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8_0                       D5                                                              CHICAGO MINIATURE LIGHTING CMD17-21VGD/TR8 LED, GREEN, 1.25MM X 1.4MM, 7MCD, 570NM              No                                           Green                                                                                                                                                                                                                                                                          https://www.vcclite.com/wp-content/uploads/wpallimport/files/files/CMD1721Seriesver3.pdf                                              Optoelectronics LEDs            unset           DIODE LED GREEN DIFFUSED 0805 SMD L62501CT-ND                                                                                                                                         20mA            2.1V            1.2mm                                             yes       Top View        7mcd               Visual Communications CMD17-21VRD/TR8   0                      0                                         Standard LEDs - SMD GREEN DIFFUSED 606-CMD17-21VGD            CMD17-21VRD/TR8                        0805 (2012 metric)                                                                                                                                                                                   105mW             D                                              5V              yes                                              +85°C                  -40°C                                                                                                          0.0.0.1              140°                              570nm     
1   VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8_0_0 VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8_0_0 VISUAL_COMMUNICATIONS_CMD17-21VGD-TR8_0                       D1                                                              CHICAGO MINIATURE LIGHTING CMD17-21VGD/TR8 LED, GREEN, 1.25MM X 1.4MM, 7MCD, 570NM              No                                           Green                                                                                                                                                                                                                                                                          https://www.vcclite.com/wp-content/uploads/wpallimport/files/files/CMD1721Seriesver3.pdf                                              Optoelectronics LEDs            unset           DIODE LED GREEN DIFFUSED 0805 SMD L62505CT-ND                                                                                                                                         20mA            2.1V            1.2mm                                             yes       Top View        7mcd               Visual Communications CMD17-21VGD/TR8   0                      0                                         Standard LEDs - SMD GREEN DIFFUSED 606-CMD17-21VGD            CMD17-21VGD/TR8                        0805 (2012 metric)                                                                                                                                                                                   105mW             D                                              5V              yes                                              +85°C                  -40°C                                                                                                          0.0.0.1              140°                              570nm     
1   XNCLH25M000THJA0P0                                                             XNCLH25M000THJA0P0                                                             XNCLH25M000THJA0P0                                            U$3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       490-XNCLH25M000CHJB9P0CT-ND 490-18056-1-ND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     XNCLH25M000CHJB9P0 XNCLH50M000CHJA1P0                                                                                                                                                                                                                                                                                                                                                     
